@RELATION boston-housing

@ATTRIBUTE RM NUMERIC
@ATTRIBUTE LSTAT NUMERIC
@ATTRIBUTE PTRATIO NUMERIC
@ATTRIBUTE CRIM NUMERIC
@ATTRIBUTE MEDV NUMERIC

@DATA
6.575,4.98,15.3,0.00632,24.0
6.421,9.14,17.8,0.02731,21.6
7.185,4.03,17.8,0.02729,34.7
6.998,2.94,18.7,0.03237,33.4
7.147,5.33,18.7,0.06905,36.2
6.430,5.21,18.7,0.02985,28.7
6.012,12.43,15.2,0.08829,22.9
6.172,19.15,15.2,0.14455,27.1
5.631,29.93,15.2,0.21124,16.5
6.004,17.10,15.2,0.17004,18.9
6.377,20.45,15.2,0.22489,15.0
6.009,13.27,15.2,0.11747,18.9
5.889,15.71,15.2,0.09378,21.7
5.949,8.26,21.0,0.62976,20.4
6.096,10.26,21.0,0.63796,18.2
5.834,8.47,21.0,0.62739,19.9
5.935,6.58,21.0,0.62750,23.1
5.990,14.67,21.0,0.58780,17.5
5.456,11.69,21.0,0.68790,20.2
5.727,11.28,21.0,0.72580,18.2
5.570,21.02,21.0,0.74080,13.6
5.965,13.83,21.0,0.71075,19.6
6.142,18.72,21.0,0.94520,15.2
5.813,19.88,21.0,0.80630,14.5
5.924,16.30,21.0,0.67900,15.6
5.599,16.51,21.0,0.95270,13.9
5.813,14.81,21.0,0.98430,16.6
6.047,17.28,21.0,0.93230,14.8
6.495,12.80,21.0,0.84420,18.4
6.674,11.98,21.0,0.84470,21.0
5.713,22.60,19.2,0.82580,12.7
6.072,13.04,19.2,0.85750,14.5
5.950,5.64,19.2,0.81620,13.2
5.701,9.53,19.2,0.80330,13.1
6.096,13.92,19.2,0.72610,13.5
5.933,16.45,19.2,0.81590,18.9
5.841,9.50,20.2,0.69480,20.0
5.850,8.44,20.2,0.91990,21.0
5.966,12.05,20.2,0.77680,24.7
6.595,7.88,14.7,0.11460,30.8
7.024,5.52,14.7,0.14030,34.9
6.770,6.78,17.0,0.06860,26.6
6.169,9.55,21.1,0.08265,25.3
6.211,13.00,21.1,0.08199,24.7
6.069,11.32,21.1,0.09227,21.2
7.820,4.89,17.9,0.09712,42.3
7.416,6.75,17.9,0.10328,37.0
6.727,9.04,17.9,0.10084,33.0
6.781,7.51,17.9,0.12329,27.5
6.405,11.38,17.9,0.22876,26.5
6.137,10.08,17.8,0.21387,22.0
6.167,13.35,17.8,0.06329,24.1
5.851,28.69,17.8,0.19186,20.0
5.836,16.03,17.8,0.06076,16.6
6.127,16.21,17.8,0.10574,22.1
6.474,12.67,17.8,0.04741,19.4
6.229,10.24,17.8,0.06153,19.7
6.195,13.65,17.8,0.07948,22.2
6.715,11.99,17.8,0.06163,24.5
7.061,7.70,17.8,0.04819,23.0
6.976,6.54,17.8,0.03551,22.9
6.782,7.22,17.8,0.04216,22.0
6.251,11.25,18.6,0.03705,22.5
6.383,8.10,18.6,0.06076,22.8
6.816,4.73,18.6,0.03659,32.4
6.145,13.15,18.6,0.04819,24.8
5.927,15.12,18.6,0.03548,28.4
5.741,7.32,20.2,0.01538,33.0
6.024,4.34,15.9,0.61154,21.2
5.936,6.90,15.9,0.66351,19.1
6.339,9.42,15.9,0.65665,19.1
6.758,3.57,15.9,0.54011,19.9
7.393,3.11,16.6,0.01501,44.8
7.929,2.14,16.6,0.01538,50.0
7.802,3.16,16.6,0.02498,43.5
6.943,5.60,16.6,0.02543,37.0
6.659,8.43,16.6,0.02009,37.9
7.016,6.36,16.6,0.01425,32.5
6.216,11.12,17.4,0.03584,26.4
5.875,13.15,17.4,0.04981,29.6
5.879,8.44,17.4,0.04301,50.0
6.618,6.55,17.4,0.02155,32.0
7.147,5.82,17.4,0.01778,29.8
